Station Number,Station Name(Kanji),Station Name(Kana),Station Name,Station Name of Snow(Kanji),Station Name of Snow(Kana),Station Name of Snow,Latitude_Precipitation(degree),Longitude_Precipitation(degree),Altitude_Precipitation(m),Height of Anemometer(m),Latitude_Snow(degree),Longitude_Snow(degree),Altitude_Snow(m),Precipitation,Wind Speed,Temperature,Sunshine Duration,Depth of Snow Cover,Humidity,Start Date,End Date,Old Station Number,Disconnection of Precipitation,Disconnection of Wind Speed,Disconnection of Temperature,Disconnection of Sunshine Duration,Disconnection of Depth of Snow Cover,Disconnection of Humidity
11001,宗谷岬,ソウヤミサキ,SOYAMISAKI,,,,45.520,141.935,26,10.1,,,,1,1,1,2,0,1,2021-03-18,9999-99-99,11001,0,0,0,0,0,0
11016,稚内,ワッカナイ,WAKKANAI,稚内,ワッカナイ,WAKKANAI,45.415,141.678,3,24.1,45.415,141.678,3,1,1,1,1,1,1,2021-03-11,9999-99-99,11016,0,0,0,0,0,0
11046,礼文,レブン,REBUN,,,,45.305,141.045,65,9.9,,,,1,1,1,2,0,1,2021-10-26,9999-99-99,11046,0,0,0,0,0,0
11061,声問,コエトイ,KOETOI,声問,コエトイ,KOETOI,45.403,141.802,8,10.0,45.403,141.802,8,1,1,1,0,1,0,2017-11-09,9999-99-99,11061,0,0,0,0,0,0
11076,浜鬼志別,ハマオニシベツ,HAMAONISHIBETSU,浜鬼志別,ハマオニシベツ,HAMAONISHIBETSU,45.335,142.170,13,6.5,45.335,142.170,13,1,1,1,2,1,0,2021-03-02,9999-99-99,11076,0,0,0,6,0,0
11091,本泊,モトドマリ,MOTODOMARI,,,,45.242,141.187,30,10.0,,,,1,1,1,0,0,0,2017-11-09,9999-99-99,11091,0,0,0,0,0,0
11121,沼川,ヌマカワ,NUMAKAWA,沼川,ヌマカワ,NUMAKAWA,45.248,141.852,23,10.0,45.248,141.852,23,1,1,1,2,1,0,2021-03-02,9999-99-99,11121,0,0,0,6,0,0
11151,沓形,クツガタ,KUTSUGATA,,,,45.178,141.138,14,9.9,,,,1,1,1,2,0,1,2021-10-28,9999-99-99,11151,0,0,0,0,0,0
11176,豊富,トヨトミ,TOYOTOMI,豊富,トヨトミ,TOYOTOMI,45.102,141.780,14,10.0,45.102,141.780,14,1,1,1,2,1,0,2021-03-02,9999-99-99,11176,0,0,0,6,0,0
11206,浜頓別,ハマトンベツ,HAMATOMBETSU,,,,45.125,142.350,18,10.0,,,,1,1,1,2,0,0,2021-03-02,9999-99-99,11206,0,0,0,6,0,0
11276,中頓別,ナカトンベツ,NAKATOMBETSU,中頓別,ナカトンベツ,NAKATOMBETSU,44.965,142.280,25,10.2,44.965,142.280,25,1,1,1,2,1,0,2021-03-02,9999-99-99,11276,0,0,0,6,0,0
11291,北見枝幸,キタミエサシ,KITAMI-ESASHI,北見枝幸,キタミエサシ,KITAMI-ESASHI,44.940,142.585,7,17.2,44.940,142.585,7,1,1,1,1,1,1,2021-03-02,9999-99-99,11291,0,0,0,0,0,0
11316,歌登,ウタノボリ,UTANOBORI,歌登,ウタノボリ,UTANOBORI,44.842,142.480,14,10.0,44.842,142.480,14,1,1,1,2,1,0,2021-03-02,9999-99-99,11316,0,0,0,6,0,0
12011,中川,ナカガワ,NAKAGAWA,,,,44.828,142.077,22,10.0,,,,1,1,1,2,0,0,2021-03-02,9999-99-99,12011,0,0,0,6,0,0
12041,音威子府,オトイネップ,OTOINEPPU,音威子府,オトイネップ,OTOINEPPU,44.727,142.265,40,10.0,44.727,142.265,40,1,1,1,2,1,0,2021-03-02,9999-99-99,12041,0,0,0,6,0,0
12066,小車,オグルマ,OGURUMA,,,,44.608,142.295,60,,,,,1,0,0,0,0,0,2005-11-09,9999-99-99,12066,1,1,1,1,1,1
12141,美深,ビフカ,BIFUKA,美深,ビフカ,BIFUKA,44.480,142.342,77,10.0,44.480,142.342,77,1,1,1,2,1,0,2021-03-02,9999-99-99,12141,0,0,0,6,0,0
12181,名寄,ナヨロ,NAYORO,名寄,ナヨロ,NAYORO,44.370,142.457,89,9.9,44.370,142.457,89,1,1,1,2,1,1,2021-09-16,9999-99-99,12181,0,0,0,0,0,0
12217,西風連,ニシフウレン,NISHIFUREN,,,,44.295,142.358,128,,,,,1,0,0,0,0,0,2005-11-08,9999-99-99,12217,1,1,1,1,1,1
12231,下川,シモカワ,SHIMOKAWA,下川,シモカワ,SHIMOKAWA,44.295,142.637,143,10.0,44.295,142.637,143,1,1,1,2,1,0,2021-03-02,9999-99-99,12231,0,0,0,6,0,0
12256,剣淵,ケンブチ,KENBUCHI,,,,44.107,142.353,138,,,,,1,0,0,0,0,0,2005-11-10,9999-99-99,12256,1,1,1,1,1,1
12261,士別,シベツ,SHIBETSU,,,,44.187,142.417,135,8.0,,,,1,1,1,2,0,0,2021-03-02,9999-99-99,12261,0,0,0,6,0,0
12266,朝日,アサヒ,ASAHI,,,,44.118,142.595,225,10.0,,,,1,1,1,2,0,0,2021-03-02,9999-99-99,12266,0,0,0,6,0,0
12301,和寒,ワッサム,WASSAMU,和寒,ワッサム,WASSAMU,44.028,142.410,150,10.0,44.028,142.410,150,1,1,1,2,1,0,2021-03-02,9999-99-99,12301,0,0,0,6,0,0
12386,江丹別,エタンベツ,ETAMBETSU,,,,43.870,142.260,140,10.0,,,,1,1,1,2,0,0,2021-03-02,9999-99-99,12386,0,0,0,6,0,0
12396,比布,ピップ,PIPPU,,,,43.870,142.470,164,10.0,,,,1,1,1,2,0,0,2021-03-02,9999-99-99,12396,0,0,0,6,0,0
12411,上川,カミカワ,KAMIKAWA,上川,カミカワ,KAMIKAWA,43.847,142.753,324,10.0,43.847,142.753,324,1,1,1,2,1,0,2021-03-02,9999-99-99,12411,0,0,0,6,0,0
12442,旭川,アサヒカワ,ASAHIKAWA,旭川,アサヒカワ,ASAHIKAWA,43.757,142.372,120,47.0,43.757,142.372,120,1,1,1,1,1,1,2021-03-17,9999-99-99,12442,0,0,0,0,0,0
12451,東川,ヒガシカワ,HIGASHIKAWA,,,,43.702,142.508,215,10.0,,,,1,1,1,2,0,0,2021-03-02,9999-99-99,12451,0,0,0,6,0,0
12457,瑞穂,ミズホ,MIZUHO,,,,43.737,142.638,289,,,,,1,0,0,0,0,0,1984-10-08,9999-99-99,12457,1,1,1,1,1,1
12471,層雲峡,ソウウンキョウ,SOUNKYO,層雲峡,ソウウンキョウ,SOUNKYO,43.753,142.930,540,,43.753,142.930,540,1,0,0,0,1,0,1987-11-17,9999-99-99,12471,0,0,0,0,0,0
12501,東神楽,ヒガシカグラ,HIGASHI-KAGURA,東神楽,ヒガシカグラ,HIGASHI-KAGURA,43.670,142.447,211,10.0,43.670,142.447,211,1,1,1,0,1,0,2017-03-08,9999-99-99,12501,0,0,0,0,0,0
12512,志比内,シビナイ,SHIBINAI,,,,43.643,142.582,310,10.0,,,,1,1,1,2,0,0,2021-03-02,9999-99-99,12512,0,0,0,6,0,0
12551,美瑛,ビエイ,BIEI,美瑛,ビエイ,BIEI,43.588,142.493,250,10.0,43.588,142.493,250,1,1,1,2,1,0,2021-03-02,9999-99-99,12551,0,0,0,6,0,0
12596,上富良野,カミフラノ,KAMIFURANO,,,,43.455,142.465,220,10.0,,,,1,1,1,2,0,0,2021-03-02,9999-99-99,12596,0,0,0,6,0,0
12607,白金,シロガネ,SHIROGANE,,,,43.475,142.650,658,,,,,1,0,0,0,0,0,2015-11-27,9999-99-99,12607,0,0,0,0,0,0
12626,富良野,フラノ,FURANO,富良野,フラノ,FURANO,43.333,142.400,174,9.9,43.333,142.400,174,1,1,1,2,1,1,2021-09-14,9999-99-99,12626,0,0,0,0,0,0
12632,麓郷,ロクゴウ,ROKUGO,,,,43.302,142.522,315,10.0,,,,1,1,1,2,0,0,2021-03-02,9999-99-99,12632,0,0,0,6,0,0
12686,金山,カナヤマ,KANAYAMA,,,,43.138,142.417,284,,,,,1,0,0,0,0,0,2005-11-17,9999-99-99,12686,1,1,1,1,1,1
12691,幾寅,イクトラ,IKUTORA,幾寅,イクトラ,IKUTORA,43.168,142.568,350,9.9,43.168,142.568,350,1,1,1,2,1,1,2021-09-15,9999-99-99,12691,0,0,0,0,0,0
12746,占冠,シムカップ,SHIMUKAPPU,占冠,シムカップ,SHIMUKAPPU,42.978,142.395,332,10.0,42.978,142.395,332,1,1,1,2,1,0,2021-03-02,9999-99-99,12746,0,0,0,6,0,0
13011,幌延,ホロノベ,HORONOBE,,,,45.007,141.852,5,,,,,1,0,0,0,0,0,2005-11-15,9999-99-99,13011,1,1,1,1,1,1
13061,天塩,テシオ,TESHIO,天塩,テシオ,TESHIO,44.893,141.762,9,10.0,44.893,141.762,9,1,1,1,2,1,0,2021-03-02,9999-99-99,13061,0,0,0,6,0,0
13086,遠別,エンベツ,EMBETSU,,,,44.718,141.807,7,10.0,,,,1,1,1,2,0,0,2021-03-02,9999-99-99,13086,0,0,0,6,0,0
13121,初山別,ショサンベツ,SHOSAMBETSU,初山別,ショサンベツ,SHOSAMBETSU,44.523,141.770,27,10.0,44.523,141.770,27,1,1,1,2,1,0,2021-03-02,9999-99-99,13121,0,0,0,6,0,0
13146,焼尻,ヤギシリ,YAGISHIRI,,,,44.428,141.422,38,8.0,,,,1,1,1,2,0,0,2021-03-02,9999-99-99,13146,0,0,0,6,0,0
13181,羽幌,ハボロ,HABORO,羽幌,ハボロ,HABORO,44.363,141.700,8,21.6,44.363,141.700,8,1,1,1,1,1,1,2021-03-02,9999-99-99,13181,0,0,0,0,0,0
13206,古丹別,コタンベツ,KOTAMBETSU,古丹別,コタンベツ,KOTAMBETSU,44.265,141.722,15,,44.265,141.722,15,1,0,0,0,1,0,2009-10-26,9999-99-99,13206,0,0,0,0,0,0
13261,達布,タップ,TAPPU,,,,44.048,141.857,30,10.0,,,,1,1,1,2,0,0,2021-03-02,9999-99-99,13261,0,0,0,6,0,0
13277,留萌,ルモイ,RUMOI,留萌,ルモイ,RUMOI,43.945,141.632,24,16.3,43.945,141.632,24,1,1,1,1,1,1,2021-03-02,9999-99-99,13277,0,0,0,0,0,0
13311,増毛,マシケ,MASHIKE,,,,43.848,141.510,20,9.4,,,,1,1,1,2,0,0,2021-03-02,9999-99-99,13311,0,0,0,6,0,0
13321,幌糠,ホロヌカ,HORONUKA,幌糠,ホロヌカ,HORONUKA,43.853,141.760,20,10.0,43.853,141.760,20,1,1,1,2,1,0,2021-03-02,9999-99-99,13321,0,0,0,6,0,0
14026,浜益,ハママス,HAMAMASU,,,,43.582,141.387,3,10.0,,,,1,1,1,2,0,0,2021-03-02,9999-99-99,14026,0,0,0,6,0,0
14071,厚田,アツタ,ATSUTA,厚田,アツタ,ATSUTA,43.397,141.437,5,10.0,43.397,141.437,5,1,1,1,2,1,0,2021-03-02,9999-99-99,14071,0,0,0,6,0,0
14101,新篠津,シンシノツ,SHINSHINOTSU,新篠津,シンシノツ,SHINSHINOTSU,43.220,141.645,9,10.0,43.220,141.645,9,1,1,1,2,1,0,2021-03-02,9999-99-99,14101,0,0,0,6,0,0
14116,山口,ヤマグチ,YAMAGUCHI,,,,43.148,141.222,5,10.0,,,,1,1,1,2,0,0,2021-03-02,9999-99-99,14116,0,0,0,6,0,0
